Cell_type	Age
ss1_22_126s_J23_R1.ss1_22_126s_J23_R1_accepted_hits_sorted_rm_dup.bam	LMPP	Juvenile
ss1_22_126s_K02_R1.ss1_22_126s_K02_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_K03_R1.ss1_22_126s_K03_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_K04_R1.ss1_22_126s_K04_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_K05_R1.ss1_22_126s_K05_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_K06_R1.ss1_22_126s_K06_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_K07_R1.ss1_22_126s_K07_R1_accepted_hits_sorted_rm_dup.bam	LMPP	Juvenile
ss1_22_126s_K08_R1.ss1_22_126s_K08_R1_accepted_hits_sorted_rm_dup.bam	GMP	Juvenile
ss1_22_126s_K09_R1.ss1_22_126s_K09_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_K10_R1.ss1_22_126s_K10_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_K11_R1.ss1_22_126s_K11_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_K13_R1.ss1_22_126s_K13_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_K14_R1.ss1_22_126s_K14_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_K15_R1.ss1_22_126s_K15_R1_accepted_hits_sorted_rm_dup.bam	LMPP	Juvenile
ss1_22_126s_K18_R1.ss1_22_126s_K18_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_K19_R1.ss1_22_126s_K19_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_K21_R1.ss1_22_126s_K21_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_K22_R1.ss1_22_126s_K22_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_K23_R1.ss1_22_126s_K23_R1_accepted_hits_sorted_rm_dup.bam	LMPP	Juvenile
ss1_22_126s_L01_R1.ss1_22_126s_L01_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_L02_R1.ss1_22_126s_L02_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_L03_R1.ss1_22_126s_L03_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_L04_R1.ss1_22_126s_L04_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_L05_R1.ss1_22_126s_L05_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_L06_R1.ss1_22_126s_L06_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_L07_R1.ss1_22_126s_L07_R1_accepted_hits_sorted_rm_dup.bam	LMPP	Juvenile
ss1_22_126s_L09_R1.ss1_22_126s_L09_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_L10_R1.ss1_22_126s_L10_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_L11_R1.ss1_22_126s_L11_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_L12_R1.ss1_22_126s_L12_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_L13_R1.ss1_22_126s_L13_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_L14_R1.ss1_22_126s_L14_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_L15_R1.ss1_22_126s_L15_R1_accepted_hits_sorted_rm_dup.bam	LMPP	Juvenile
ss1_22_126s_L17_R1.ss1_22_126s_L17_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_L18_R1.ss1_22_126s_L18_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_L20_R1.ss1_22_126s_L20_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_L21_R1.ss1_22_126s_L21_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_L22_R1.ss1_22_126s_L22_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_L23_R1.ss1_22_126s_L23_R1_accepted_hits_sorted_rm_dup.bam	LMPP	Juvenile
ss1_22_126s_M01_R1.ss1_22_126s_M01_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_M02_R1.ss1_22_126s_M02_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_M03_R1.ss1_22_126s_M03_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_M04_R1.ss1_22_126s_M04_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_M05_R1.ss1_22_126s_M05_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_M06_R1.ss1_22_126s_M06_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_M07_R1.ss1_22_126s_M07_R1_accepted_hits_sorted_rm_dup.bam	LMPP	Juvenile
ss1_22_126s_M08_R1.ss1_22_126s_M08_R1_accepted_hits_sorted_rm_dup.bam	GMP	Juvenile
ss1_22_126s_M09_R1.ss1_22_126s_M09_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_M10_R1.ss1_22_126s_M10_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_M11_R1.ss1_22_126s_M11_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_M12_R1.ss1_22_126s_M12_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_M13_R1.ss1_22_126s_M13_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_M14_R1.ss1_22_126s_M14_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_M15_R1.ss1_22_126s_M15_R1_accepted_hits_sorted_rm_dup.bam	LMPP	Juvenile
ss1_22_126s_M17_R1.ss1_22_126s_M17_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_M18_R1.ss1_22_126s_M18_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_M19_R1.ss1_22_126s_M19_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_M20_R1.ss1_22_126s_M20_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_M21_R1.ss1_22_126s_M21_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_M22_R1.ss1_22_126s_M22_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_N01_R1.ss1_22_126s_N01_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_N02_R1.ss1_22_126s_N02_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_N03_R1.ss1_22_126s_N03_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_N04_R1.ss1_22_126s_N04_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_N05_R1.ss1_22_126s_N05_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_N06_R1.ss1_22_126s_N06_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_N07_R1.ss1_22_126s_N07_R1_accepted_hits_sorted_rm_dup.bam	LMPP	Juvenile
ss1_22_126s_N08_R1.ss1_22_126s_N08_R1_accepted_hits_sorted_rm_dup.bam	GMP	Juvenile
ss1_22_126s_N09_R1.ss1_22_126s_N09_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_N10_R1.ss1_22_126s_N10_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_N11_R1.ss1_22_126s_N11_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_N12_R1.ss1_22_126s_N12_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_N13_R1.ss1_22_126s_N13_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_N14_R1.ss1_22_126s_N14_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_N17_R1.ss1_22_126s_N17_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_N18_R1.ss1_22_126s_N18_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_N19_R1.ss1_22_126s_N19_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_N20_R1.ss1_22_126s_N20_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_N21_R1.ss1_22_126s_N21_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_N22_R1.ss1_22_126s_N22_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_N23_R1.ss1_22_126s_N23_R1_accepted_hits_sorted_rm_dup.bam	LMPP	Juvenile
ss1_22_126s_O01_R1.ss1_22_126s_O01_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_O02_R1.ss1_22_126s_O02_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_O03_R1.ss1_22_126s_O03_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_O04_R1.ss1_22_126s_O04_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_O05_R1.ss1_22_126s_O05_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_O06_R1.ss1_22_126s_O06_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_O07_R1.ss1_22_126s_O07_R1_accepted_hits_sorted_rm_dup.bam	LMPP	Juvenile
ss1_22_126s_O08_R1.ss1_22_126s_O08_R1_accepted_hits_sorted_rm_dup.bam	GMP	Juvenile
ss1_22_126s_O09_R1.ss1_22_126s_O09_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_O10_R1.ss1_22_126s_O10_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_O11_R1.ss1_22_126s_O11_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_O12_R1.ss1_22_126s_O12_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_O13_R1.ss1_22_126s_O13_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_O14_R1.ss1_22_126s_O14_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_O17_R1.ss1_22_126s_O17_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_O18_R1.ss1_22_126s_O18_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_O19_R1.ss1_22_126s_O19_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_O20_R1.ss1_22_126s_O20_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_O21_R1.ss1_22_126s_O21_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_O22_R1.ss1_22_126s_O22_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_O23_R1.ss1_22_126s_O23_R1_accepted_hits_sorted_rm_dup.bam	LMPP	Juvenile
ss1_22_126s_P01_R1.ss1_22_126s_P01_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_P02_R1.ss1_22_126s_P02_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_P03_R1.ss1_22_126s_P03_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_P04_R1.ss1_22_126s_P04_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_P05_R1.ss1_22_126s_P05_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_P06_R1.ss1_22_126s_P06_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_P07_R1.ss1_22_126s_P07_R1_accepted_hits_sorted_rm_dup.bam	LMPP	Juvenile
ss1_22_126s_P08_R1.ss1_22_126s_P08_R1_accepted_hits_sorted_rm_dup.bam	GMP	Juvenile
ss1_22_126s_P09_R1.ss1_22_126s_P09_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_P10_R1.ss1_22_126s_P10_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_P11_R1.ss1_22_126s_P11_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_P12_R1.ss1_22_126s_P12_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_P13_R1.ss1_22_126s_P13_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_P14_R1.ss1_22_126s_P14_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_P15_R1.ss1_22_126s_P15_R1_accepted_hits_sorted_rm_dup.bam	LMPP	Juvenile
ss1_22_126s_P16_R1.ss1_22_126s_P16_R1_accepted_hits_sorted_rm_dup.bam	GMP	Juvenile
ss1_22_126s_P17_R1.ss1_22_126s_P17_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_P18_R1.ss1_22_126s_P18_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_P19_R1.ss1_22_126s_P19_R1_accepted_hits_sorted_rm_dup.bam	CD49b-	Juvenile
ss1_22_126s_P20_R1.ss1_22_126s_P20_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
ss1_22_126s_P22_R1.ss1_22_126s_P22_R1_accepted_hits_sorted_rm_dup.bam	CD49b+	Juvenile
