Cell_type	Age
plate_21_090s_E06.plate_21_090s_E06_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_090s_E09.plate_21_090s_E09_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_090s_E10.plate_21_090s_E10_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_090s_E14.plate_21_090s_E14_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_090s_E17.plate_21_090s_E17_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_090s_E18.plate_21_090s_E18_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_090s_E20.plate_21_090s_E20_accepted_hits_sorted_rm_dup.bam	GMP	Adult
plate_21_090s_E23.plate_21_090s_E23_accepted_hits_sorted_rm_dup.bam	LMPP	Adult
plate_21_090s_F06.plate_21_090s_F06_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_090s_F09.plate_21_090s_F09_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_090s_F14.plate_21_090s_F14_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_090s_F16.plate_21_090s_F16_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_090s_F17.plate_21_090s_F17_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_090s_F19.plate_21_090s_F19_accepted_hits_sorted_rm_dup.bam	LMPP	Adult
plate_21_090s_F20.plate_21_090s_F20_accepted_hits_sorted_rm_dup.bam	GMP	Adult
plate_21_090s_G05.plate_21_090s_G05_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_090s_G06.plate_21_090s_G06_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_090s_G09.plate_21_090s_G09_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_090s_G10.plate_21_090s_G10_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_090s_G14.plate_21_090s_G14_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_090s_G16.plate_21_090s_G16_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_090s_G17.plate_21_090s_G17_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_090s_G18.plate_21_090s_G18_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_090s_G19.plate_21_090s_G19_accepted_hits_sorted_rm_dup.bam	LMPP	Adult
plate_21_090s_G20.plate_21_090s_G20_accepted_hits_sorted_rm_dup.bam	GMP	Adult
plate_21_090s_H05.plate_21_090s_H05_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_090s_H06.plate_21_090s_H06_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_090s_H09.plate_21_090s_H09_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_090s_H14.plate_21_090s_H14_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_090s_H16.plate_21_090s_H16_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_090s_H17.plate_21_090s_H17_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_090s_H18.plate_21_090s_H18_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_090s_H19.plate_21_090s_H19_accepted_hits_sorted_rm_dup.bam	LMPP	Adult
plate_21_090s_H20.plate_21_090s_H20_accepted_hits_sorted_rm_dup.bam	GMP	Adult
plate_21_090s_I05.plate_21_090s_I05_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_090s_I06.plate_21_090s_I06_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_090s_I09.plate_21_090s_I09_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_090s_I16.plate_21_090s_I16_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_090s_I17.plate_21_090s_I17_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_090s_I19.plate_21_090s_I19_accepted_hits_sorted_rm_dup.bam	LMPP	Adult
plate_21_090s_I20.plate_21_090s_I20_accepted_hits_sorted_rm_dup.bam	GMP	Adult
plate_21_090s_J02.plate_21_090s_J02_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_090s_J05.plate_21_090s_J05_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_090s_J06.plate_21_090s_J06_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_090s_J09.plate_21_090s_J09_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_090s_J10.plate_21_090s_J10_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_090s_J13.plate_21_090s_J13_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_090s_J14.plate_21_090s_J14_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_090s_J16.plate_21_090s_J16_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_090s_J17.plate_21_090s_J17_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
