C1_cluster_Rodriguez;C2_cluster_Rodriguez;C3_cluster_Rodriguez;Mk_cluster_Rodriguez;Er_cluster_Rodriguez;Ba_cluster_Rodriguez;Neu_cluster_Rodriguez;Mo1_cluster_Rodriguez;Mo2_cluster_Rodriguez;preDC_cluster_Rodriguez;preB_cluster_Rodriguez;preT_cluster_Rodriguez;Mye_Chambers;NK_Chambers;NaiveT_Chambers;Ner_Chambers;Mm_HSC_Runx1_Wu;Mm_HSC_Tcf7_Wu;Mm_HSC_Ivanova;Mm_HSC_Ramalho;HSC_Explorer;Mm_LT_HSC_Venezia;Mm_Proliferation_Venezia;Mm_Quiescence_Venezia;Mm_Adult_HSC_UP_Venezia;Polarity_factors_Ting;Novel_HSC_regul_polar_Ting;Svendsen;MGA_MEP
Sult1a1;Dntt;Tcf19;Pf4;Klf1;Fcer1a;Wfdc21;Fn1;Ace;Plbd1;Tff1;Ccl5;Ccr1;Klre1;Cd5;Klf1;1110007C09Rik;1110007C09Rik;1110017D15Rik;0610009D07Rik;ALDOA;Cd1d2;GeneSymbol;Igh-4;Gnb5;Akt1;Ap2a2;Selp;Med1
Wfdc2;Gm5111;Ccne2;Tuba8;Mt2;Prss34;Camp;Chil3;Ear2;H2-Eb1;Lrrc4;Thy1;Il1b;Klrb1c;2610019F03Rik;Slc38a5;1700026L06Rik;1700025G04Rik;1300001I01Rik;0610010K06Rik;Ackr3;Smpd2;Gart;1200006I17Rik;Jun;Anapc5;Gpsm2;Mt1;B3galnt2
Cdkn1c;Flt3;Rad51;Serpine2;Car1;Mcpt8;Fcnb;F13a1;Fcgr4;Pld4;Gm4857;Gimap4;Scrg1;Klrb1d;Cd6;Agtr1;2310014H01Rik;1700026L06Rik;1700007K13Rik;0610011F06Rik;Actg1;2610007K22Rik;Gpi1;Crem;AI643885;Ap2a2;Tmod1;Nupr1;Prelid2
Tinagl1;9030619P08Rik;Brca1;Gata1;Atp1b2;Ms4a2;Ngp;I830127L07Rik;Clec4a1;Lgals3;Mzb1;Id2;Fcgr3a;Klrk1;2310032F03Rik;3110004L20Rik;2810408A11Rik;2310014H01Rik;1700010I14Rik;0610031J06Rik;Adipoq;Il4ra;Atp5a1;Snx17;3110043O21Rik;Apc;Kif3a;Plscr2;Rpl21
Pygm;Il1r1;Uhrf1;Slc14a1;Ces2g;Gzmb;S100a8;Lgals3;Fgr;Mpeg1;Ly6d;Icos;4930518F03Rik;Klra21;St8sia1;Epb4.9;2900026A02Rik;2310047C17RIK;2310036O22Rik;1110001J03Rik;Agtr2;Araf;Pep4;BC010348;Rnf19;AurkA;Racgap1;Clec1a;Rpl24
Art4;Vldlr;Mybl2;Ehd3;Aqp1;Cd200r3;Ms4a3;C3;Cd36;Itgb7;Derl3;Bcl11b;Bst1;4631423F02Rik;Nsg2;C730029A08Rik;4931406C07Rik;2900026A02Rik;2410004B18Rik;1110007C09Rik;Aif1;Inpp5d;Pja1;Cerk;Crem;AurkB;Ccnb1;Gstm2;Pih1d1
Ndn;;Rad54b;Rab27b;Abcb4;Alox5;Hp;Pld4;Apoc2;Id2;Cd79a;St3gal6;LOC381948;Ncr1;Tmie;Sox6;5031439G07Rik;4930427A07Rik;2610002J02Rik;1110007M04Rik;Akt1;6330580J24Rik;Pigf;Acox1;Anxa4;AurkC;;Enpp5;Cd3eap
Tgm2;;Rrm2;Gp9;Samd14;Hdc;Elane;Ifitm6;Plbd1;Ly86;Prg2;Maf;Pira6;A630024B12Rik;Trat1;AI661323;A430078G23Rik;4930515G01Rik;2900002H16Rik;1110014J01Rik;Akt2;Txnip;0610009H04Rik;Cd1d2;Cd24a;Bicd1;;Itgb3;Armc9
Mmrn1;;Pkmyt1;Vwf;Trib2;Cpa3;Anxa3;Tgfbi;Gngt2;H2-Aa;Pou2af1;Ets1;Ceacam10;A630098A13Rik;Slc16a5;Ppap2a;AW411699;5031439G07Rik;4931414P19Rik;1110019N10Rik;Angpt1;Gab1;Tfdp1;Smpd2;Pkd2;Bmp4;;Clca3a1;Wdhd1
Hid1;;Atad5;Samd14;Ermap;Cyp4f18;S100a9;Plbd1;Lgmn;Cd74;Olfr1443;Evl;Trpm2;Phactr3;9130430L19Rik;Samd11;Abca2;ARHC;5830418K08Rik;1110038D17Rik;Angpt2;Hist1h1c;Atox1;2610007K22Rik;Mkrn1;Carm1;;Zg16;Gtpbp4
Vwf;;Wdr90;Itgb3;Gata1;Fcgr3;Ly6c2;Xdh;Cybb;Pyhin1;Kcna4;Tnfrsf18;4732429D16Rik;MGI:1351468;BB165335;Bzrpl1;Abhd2;AW411699;6330577E15Rik;1190002H23Rik;Anxa1;Scotin;Cox4i1;Il4ra;Nbr1;Ccnb1;;Sbspon;Phf5a
Sema7a;;Cenph;Aqp1;St8sia6;Padi2;Lcn2;Clec4a1;Clec4a3;Cd79a;Chst1;Ccr9;Tlr13;MGI:2676610;Bcl11b;Abcg4;Abr;Abca2;9930012K11Rik;1300001I01Rik;Apoe;Bgn;Raet1c;Nfatc1;Acox1;CD48;;Trpc1;Armc1
Trim47;;Dhfr;F2r;Blvrb;Emilin2;Hdc;Hp;Ifitm6;Ahnak;Gm5776;Lck;Il1r2;Klra1;Tnfaip8l1;Fn3k;Acox3;Abcg1;AI197253;1500011H22Rik;Arnt;Ctsf;Pold1;8430421H08Rik;Ddx3x;Cdc42;;Gpr183;Serbp1
Aldh1a1;;Gins2;Itga2b;Lmna;Arap3;F13a1;Ccr2;Ccl6;Naaa;St6gal1;Alox5;Hk3;Mcpt5;Tnfrsf25;Ccnf;Adssl1;Abhd2;Aasdhppt;1500035H01Rik;Atp5c1;Mfng;Lrp2;Araf;Lamp2;Cdcp1;;Klhl4;5830433d23rik
Pdzk1ip1;;Hells;Unc119;Mt1;Ccl3;C3;Ccl6;Pld4;Ctsh;Jchain;Hcst;Bst1;Klrb1b;Ampd1;Gata1;Akap13;Abr;Abcc1;1700012B15Rik;Axin2;H2-Ab1;D7Wsu128e;Ncf2;Myst2;Cdk2;;Ptprk;Mthfd1
Procr;;Cdc6;Dusp3;Ctse;Csf1;Ctsg;Mpeg1;Csf1r;Ly6d;Kcnj2;Tnfaip3;Crispld2;Cmklr1;A430107P09Rik;Paqr9;Amdhd2;Actn1;Abce1;1700017B05Rik;BQ562468;Ndn;2310015N07Rik;Wdr23;Cd72;Clip1;;Vwf;Cyp20a1
Kcnk5;;Chek1;Zfp385a;Phlda1;Osm;Slpi;Ly6c2;Xdh;Lgmn;Tbc1d8b;Prkcb;BB220380;Rsnl2;Gabrr2;Add2;Ankrd13d;Acvr1b;Abcf2;1700021F05Rik;Bax;Nfkbia;2310015N07Rik;Jtb;Twsg1;Ctnna1;;Cd38;Polr3h
Fscn1;;Prim2;Adcy6;St3gal5;Fam129a;Fcgr3;Ahnak;Il10ra;H2-Ab1;Fam46c;Sema4a;Dfna5h;AU024076;Ddx3y;Ank1;Ankrd63;Adam15;Abhd17c;1810015C04Rik;Bbc3;Ctsl;2810026P18Rik;Inpp5d;Mtf2;Ctnnb1;;Neo1;Krtap4-16
Fstl1;;Dtl;Zfpm1;Tnfaip2;Csf2rb;Mtus1;Fgr;Cyp4f18;Cfp;E430018J23Rik;Ahnak;Il13ra1;Rsnl2;Tmie;Btrc;Anxa1;Adamts10;Abl1;1810030O07Rik;Bcl2;Ldh2;1500004O14Rik;Dok1;Nfatc1;Dctn1;;Fhl1;Polr3k
Tnks1bp1;;Clspn;Vcl;Spire1;Csf2rb2;Alas1;Pyhin1;AB124611;Ifi30;Klf8;Itgb7;2300003P22Rik;A630038E17Rik;Prss19;Cdc25c;Anxa6;Adssl1;Acadl;1810037I17Rik;Bcl2l1;Ulk1;1500004O14Rik;Plxna3;Osmr;Dlg3;;Pbx3;Rnf220
Mpzl1;;Prim1;Tnk2;Slc40a1;Rab44;Igsf6;Ly86;Pglyrp1;Irf8;Rnf170;Fam102a;Abcd2;Chl1;Trat1;Tspan33;Ap3m2;Afap1l1;Acadvl;1810063B07Rik;Bglap;Irf1;Rarsl;Nfil3;Ncf2;Dll1;;Tm4sf1;Tars2
Gm4951;;Lig1;Adgrl1;Arap3;Tnfaip3;Fam101b;Itgb7;Themis2;Phf11b;Lgalsl;Phlda1;Pla2g7;Klrb1d;Eif2s3y;B230113M03Rik;Apob48r;Aff4;Acrv1;2010004A03Rik;Bgn;Tgtp;Pla2g12;Ctf1;Wdr23;Dynlt1;;Alcam;2210409o19rik
Mtss1l;;Tyms;Ptger3;Stom;Lpcat2;Ltb4r1;AB124611;Hspa1b;Pmaip1;Slpi;Pyhin1;Acta2;1700129I15Rik;A430093F15Rik;Ublcp1;Appl1;Ahdc1;Actl7a;2010100O12Rik;Bhlhb2;Igtp;Tnfrsf18;Cflar;Jund1;Ect2;;Tdrd9;2010305a19rik
Mamdc2;;E2f1;Ces2g;Asns;Ltb4r1;Chil3;Naaa;Pltp;Fgd2;Ermap;Rarg;Pstpip2;Klra5;Gpr83;Sh3tc2;Arhgap15;Akap13;Acy1;2010109K11Rik;Bmi1;4921526G09Rik;Sec61a1;Mrc1;Hlx;Egfr;;Aldh1a1;E130308a19rik
Srxn1;;Ncapg2;Gfi1b;5730508B09Rik;AB124611;Atp8b4;Ifi27l2a;Ceacam1;Ctss;St8sia6;Tecpr1;Pglyrp1;AI429363;Dzip1;Tspan33;Arhgap17;Als2;Ada;2310004I24Rik;Bmp4;Gadd45b;Jtv1;1110018F06Rik;Apba3;Gfi1;;Tmem47;Gpatch4
Fcgrt;;Chaf1a;Plek;Cyth3;Serpine2;Cst7;Cybb;Ctss;Ccl6;Fam214a;Slc7a8;Vnn3;Pdgfb;1700041C02Rik;Ccnb1-rs1;Arhgap30;Amdhd2;Adam11;2310044H10Rik;COX2;Grcb;Refbp1;1810024J13Rik;5730525G14Rik;Gnai2;;Gm10419;Rnf8
Eepd1;;Gins1;Nrarp;Gfi1b;Lcn2;Rab44;Ctsh;Cd68;Tifab;Btbd19;Il1rl1;Clec4e;2310016C16Rik;Il7r;Gfap;Arhgef18;Ankrd13d;Adck1;2400003C14Rik;Cat;Ltc4s;D0H8S2298E;Adcy7;MGC68300;Gnb2;;Dnm3;Fam132a
Gng11;;Cdc45;Cttn;Sppl2b;Stx3;Prss57;Slfn2;Lgals3;H2-DMb1;Sdc1;Gimap8;Bmx;Sulf2;AW046396;Arl4;Arid5a;Ankrd44;Adcyap1r1;2410001C21Rik;Cbfb;Irf6;Ddx1;Fbxl3a;Plscr1;Gpsm2;;Ebi3;Gpatch1
Iigp1;;E2f2;Cd9;Gstm5;Ms4a3;Tifab;Ly6c1;Mpeg1;Scpep1;Cd74;Dgka;Ncam1;C1ql3;Itk;Rab3il1;Arvcf;Ankrd63;Afap1l1;2410002F23Rik;Cbx7;H2-Aa;Asb3;Tfip11;C820004H04Rik;Insc;;Dhrs3;Nup85
Sla2;;Mcm10;Slc20a1;Slc41a3;Edem3;Rgcc;S100a4;Cx3cr1;Ccr2;Tram2;Sorl1;Slc11a1;X99384;St8sia1;4930570C03Rik;Atp13a2;Anks1;Agr2;2410015N17Rik;Cbx8;Rex3;1110008H02Rik;Fosb;Flt3l;Kif3a;;Wwtr1;Zscan12
Slc16a9;;Pole;Smim5;Gadd45a;Id1;Ly6c1;Cyp4f18;Pmaip1;Mzb1;Pon3;Socs1;Il1rn;C920025J10;Jarid1d;Spag5;Atp2a3;Anxa5;Agxt;2410022L05Rik;Ccl2;8430421I07Rik;2310016M24Rik;2610025P08Rik;Nfil3;Lgl1;;Plek;Tmem69
Rras;;Atad2;Haus3;Cela1;Slc7a8;I830127L07Rik;Ifi30;Hspa1a;Irf5;Gm10775;Irf2bpl;Mapk13;Dcxr;Spsb1;Add2;Atp8b4;Appl1;Ahsa2;2610002J02Rik;Ccl5;Krt1-18;Ctsz;AU020206;Madh1;Mapre3;;Cd37;1810014b01rik
Gucy1a3;;Cdt1;Hipk2;Ttll12;Ets1;Chdh;Cd300lb;Cd300lb;H2-Oa;Tmem154;Nedd9;2810037O22Rik;Sept4;Mtmr7;Tspan8;B4galt5;Arhgap17;Ahsg;2700038C09Rik;Ccl7;H2-Eb1;Nme1;B230113M03Rik;Stat4;Mark1;;Abca4;Rpl14
Rhof;;E2f7;Tmem40;Fam132a;Ccl6;Mgst2;Hpse;Itgb2;St3gal5;Cybb;Rora;App;1110033J19Rik;Cnga1;Fn3k;BC028528;Arhgap30;Ak1;2700097O09Rik;Ccna2;Pik3r1;Pdk3;Sh3glb1;Ctf1;Msi1;;Ramp2;Rpl17
Mllt3;;Ticrr;Rasgef1b;Acss1;Pglyrp1;Pglyrp1;Tifab;Ly86;Sdc3;Slc7a14;Ltb4r1;Il13ra1;C130098B18Rik;E430004N04Rik;Epor;BQ562468;Arhgef18;Akap9;2810432L12Rik;Ccnb1;Maged1;Anxa1;1300010A20Rik;Slc20a1;Msi2;;Osmr;Snupn
Spry1;;Nt5dc2;Crcp;Gm14608;Il3ra;Gm20203;Slpi;Atf3;Tpm4;Khdrbs2;Arl4c;Abcd2;4930589M24Rik;Tdgf1;Ache;Bahcc1;Arhgef2;Akr1b8;2900010M23Rik;Ccnb2;DXImx38e;Kpnb3;Cldn5;Mrc1;Myh10;;Clu;Tigd3
Ak1;;Exo1;Fgd3;Golm1;Ctsg;Pyhin1;Evi2a;Tyrobp;Itpr1;Atp11a;Itgb2;2210406H18Rik;Prf1;Ms4a4d;Ntn4;Batf;Arid5a;Akr1c21;2900042B11Rik;Ccnc;Iigp;Tgm2;5730403M16Rik;Nrip1;Myh11;;Fhdc1;Klf13
Gda;;Gmnn;Actr6;Alad;St8sia6;Neu1;Cfp;Ifi27l2a;5031439G07Rik;Gimap4;Cd82;Hdc;Fbxl2;Sit1;Icam4;Bcl2l11;Arvcf;Aldh1l1;3110043O21Rik;Ccnd1;2700030M23Rik;2310047C21Rik;Dusp1;Mapk6;Myo6;;Ehd3;Wdr59
Ryk;;Wdr76;Zeb2;Hebp1;Tyrobp;Hk3;Emilin2;Slfn2;Xcr1;Zadh2;4930523C07Rik;Pi16;Arhgap10;A130014H13Rik;Slc22a4;Bcl3;Atn1;Aldh7a1;4930507D05Rik;Ccnd2;Gtpi;Nsep1;Dnajb6;Fbxl3a;Ncl;;Pgr;9530077c05rik
Mecom;;Ercc6l;Dnaaf5;Smim13;Atp8b4;Sgms2;Fcgr3;Fcer1g;Gsn;Ell2;Ccr2;1200016G03Rik;Cmya5;Cxcr6;Tom1l1;Bcr;Atp11a;Alg3;4930560O18Rik;Ccne1;E030024M05Rik;Rpl37a;Slc12a7;C130027E04Rik;Neurl;;Phf11d;Krtap16-1
Soga1;;Cdc7;Ank;Kel;Atp6v0a1;Palm;Ltb4r1;S100a4;Tgfbi;Cd79b;Ablim1;1700011K15Rik;F2rl2;E430004N04Rik;2010011I20Rik;Bmp2k;Atp13a2;Amigo2;4930570C03Rik;Ccne2;Tob1;Pdcd5;Hsd3b7;Frat2;Notch1;;Rorb;Actl6a
Esam;;Fignl1;Abcb4;Ampd3;Cd300lb;Gfi1;Plaur;Hp;Fgr;Ly6c1;Sdc4;Mtus1;Tada1l;;Xpo7;Bmpr2;Atp2a3;Ankrd23;4931406C07Rik;Ccnf;Prnp;D13Wsu123e;6330580J24Rik;Ahi1;Numa1;;Fap;Mars2
Tnip3;;Fen1;Hemgn;Il1rl1;Sema4a;Serpine2;Sorl1;Cd74;Itgb2;4930402H24Rik;Lat;C130050O18Rik;Klra20;;Sgol1;Calr;Atp8b4;Anxa10;4931406I20Rik;Cd34;2410019G02Rik;Ipo4;Mat2a;4933432B13Rik;Numb;;Adgrg2;Tysnd1
Cish;;Mb21d1;Kalrn;Nqo1;Lgals3;Mt1;Ear2;C3;Pdia5;Ly6c2;Gpr132;Ltb4r1;Fasl;;Snca;Camk2b;B2m;Apbb2;4933428G09Rik;Cd44;1300004C08Rik;D7Wsu86e;Crem;F11r;Pard6a;;Tacstd2;Gpn1
Grb10;;Rad18;Bex4;Sept8;Mboat1;Usp2;Gda;Fcgr3;Evl;Rasgrp3;Lfng;Cd33;Jam4;;Gpr73;Ccl9;B4galt5;Apoa5;5033414D02Rik;Cd5l;Samhd1;Csda;Txnip;4930451A13Rik;Pard6b;;Pros1;1700085c21rik
Tbxas1;;Tipin;Tom1l1;Gdf3;P2rx7;Mpo;Ctss;Evl;Rgs10;Rfx3;Cd200r1;Entpd1;Csen;;Slc43a1;Cd244;BC003321;Apom;5430432M24Rik;Cd6;Fln29;Sod2;Lcn2;Atp2a3;Ppp2r1a;;Matn4;Fam136a
Nkx2-3;;Haus5;Cep70;Ugcg;Prkcb;Gda;Rassf4;Abi3;Hspa1a;Evi2a;Cbx8;Nfam1;Plekha5;;Rab3il1;Cd300lf;BQ562468;Aqp5;5730403B10Rik;Cdc25a;AI325941;Cad;Hccs;Fosb;Prkci;;Tmem215;Wdr61
Hes1;;Trip13;Hist1h2bc;Nfia;Klf7;App;Mgst1;Klf2;Evi2a;Creld2;Adgre5;Cpd;Id2;;Tpx2;Cd33;Bach1;Aqp6;5730469M10Rik;Cdc2a;Cd1d1;5730406I15Rik;1200004M23Rik;Rab6ip1;Prkcz;;Cpne8;Dus1l
Selm;;Mthfd2;Rap1b;Rfx2;Cst7;Mcu;Fcnb;Nupr1;Fam105a;Alox5;Lztfl1;Clec5a;Raph1;;Cacna1g;Cd48;Bahcc1;Arbp;5730494M16Rik;Cdc42;Aim1;Hnrpa1;Gab1;2310050N11Rik;Prom1;;Prcp;4930553p18rik
Hacd4;;Rad54l;Lix1l;Adcy6;Cd69;Ncf4;E2f2;Prkcb;Slfn2;Atp6v0a1;Ahcyl2;Ggtla1;Pftk1;;Fshprh1;Cd68;Baz2b;Arf6;6330409N04Rik;Cdh2;Ctla2b;6330514M23Rik;Snap25bp;Atf3;Prox1;;Cd86;Siva1
F11r;;Hirip3;Adgrl2;8430419L09Rik;Fcer1g;Ly86;Ap1s2;Adgre5;Cd52;Sema4a;Il12rb2;Irg1;Rasl12;;Rai16;Cd69;Bcl2l1;Arhgdia;9130011J15Rik;Cdk4;AW538196;Nudt9;Fos;AU020206;Pten;;Sult1a1;Farsb
Plscr4;;Fanci;Mob1b;Tfrc;Itgb7;Sorl1;4632428N05Rik;Rras;Rnase6;Dnajc11;Zfp36l1;Ung2;Ppm1j;;Specc1;Cd7;Bcl2l11;Arl10;Abca1;Cdk6;Pscdbp;Capza2;Sox6;9030612M13Rik;Ptpn1;;Sdpr;Vamp5
Gimap8;;Pold1;Gmpr;Necap2;Tec;Cybb;Tyrobp;Rara;Raph1;Trib1;Kif21b;Gsr;D8Ertd82e;;Wfdc3;Cd72;Bcl3;Arl2;Abcb1b;Cdkn1a;Map1lc3;Ranbp1;Gtpbp1;6330412C24Rik;Ptpn2;;Efna1;1700123o12rik
Phlda2;;Skp2;Lat;Cox6b2;Cebpa;Ncf1;Msrb1;Ifi30;Prkcb;Mro;Tnk2;D730048J04Rik;Zfp105;;D830007F02Rik;Cdca7;Bcr;Arl3;Abcb8;Cdkn1b;Ldlr;Sh3d3;Nr4a2;Cldn5;Rab11Fip1;;Satb1;Pom121
Mycn;;Pola1;Khk;Cpox;Fam46a;Ero1l;C1galt1c1;Tnfrsf1b;Hspa1b;Rgcc;Rara;2310076L09Rik;Gp1bb;;Dlg7;Cds2;Bin1;Armet;Abcd3;Cdkn1c;1110032C13Rik;Mcm3;Fdft1;Itsn;Rab11Fip3;;Plscr1;4933433g19rik
Myof;;Syce2;Tgfbr3;Gnb4;Gm20203;Arsb;Itgam;Ap1s2;Haao;Slc44a1;Rgs3;Cpd;Cpne7;;Tspan8;Cep19;Bmp2k;Arrdc2;Abcf3;Cdkn2a;Socs3;Psmc3;Tro;5730403M16Rik;RacGap1;;Gadd45g;Rpl31
Ctnnal1;;Rfc4;S100a1;Rgs10;Gsn;Gria3;S100a6;Fcgrt;Vhl;Dtd2;S100a4;4933405A16Rik;2610510E02Rik;;Espl1;Cfp;Bmpr2;Asah2;Abcg1;Cdkn2b;6330407G11Rik;6230416J20Rik;Snk;Dusp1;Scrb;;Tgm2;Phb2
Col4a2;;Tubg1;Apoe;Sdsl;Ccl4;Msrb1;Csf1r;Susd3;Plekho1;Entpd7;Ly6c2;Trem1;7530404M11Rik;;Cbfa2t1h;Clec11a;Calcoco1;Atf6b;Abcg2;Cdkn2c;D4Wsu53e;5031439A09Rik;Mapk12;Wdr26;Snai1;;Prtn3;Cdca8
Obsl1;;Rnaseh2b;Prkca;Fzd7;Slpi;Tyrobp;Igsf6;Tnfaip8l2;Sema4a;Fndc3b;Gata3;Il1f9;Frmd4b;;Gstt1;Clec4e;Calr;Atoh8;Abhd14a;Cdkn2d;Dusp2;Sfrs3;Vcam1;Dnajb6;Snai2;;Rorc;Mrpl15
Slc18a2;;Fabp5;Fam78a;Xk;Tuba8;Cfp;Apoc2;Stk10;Myadm;Zbp1;Faah;Itga8;Arhgap10;;Pcx;Clip2;Camk2a;Atp1b1;Acadl;Cfl1;Clk;Trip13;Myb;Slc12a7;Spata2;;Bmpr1a;Fars2
Ifi44;;Nrm;Clstn3;Gm8116;Igsf6;Fndc3b;Themis2;Itgal;Tyrobp;1110008P14Rik;Itpr2;1110060D06Rik;Cuedc1;;8430419L09Rik;Coro7;Camk2g;Atp2c2;Acadm;Chaf1a;Clk3;Dnmt1;5530400H20Rik;Arf4;Spin1;;Klrb1c;Mrpl13
Klf9;;Blm;Rabgap1l;Fpgs;Vmn1r65;Tmem38b;Irf5;Tgfbi;Ppm1m;Mbd5;Trim26;Fgr;4930433E13Rik;;Cln8;Cpa3;Capn5;Atp5g2;Acot1;Chek2;C79248;Hmgn2;Mcl1;Hsd3b7;Stat3;;Aspa;Tmem186
Fhl1;;Pold2;Hmbs;Hmbs;Chst15;Svip;Tpm4;Sdc3;Ncf1;Ctss;Lpcat2;6330406P08Rik;Zfp537;;1700086O06Rik;Cpne3;Cbfb;Atp5g3;Acox1;Clasp1;Zfp288;Pole2;H2-K;1500010B24Rik;Stau1;;Gem;Smc2
Marveld1;;Orc6;Soga1;Fam195a;Lat2;Gstm3;Cd68;Sgk1;Irf7;Tmcc3;Bhlhe40;Aldh3b1;Cdh22;;Pdia2;Crocc;Ccdc64;Avpi1;Actr10;Clu;Tnfrsf1b;Adprt1;B830009D23Rik;B3gnt1;Stau2;;Cysltr2;Gata1
Eya2;;Rfc5;Mrps18a;Smim5;Csnk2a2;Nin;Klf4;Sat1;Camk1d;Lgmn;Mdfic;Pbx1;Tnfsf13;;BC034054;Csad;Ccnd1;Avpr1a;Acvr2a;Col1a1;Sema4b;Tfdp1;Tm4sf2;Rab10;Stx4a;;Sfrp1;Smc3
Fam213a;;Shmt1;Dlg3;Ell2;Slc41a3;Arid3a;Il10ra;Fzd7;S100a4;Wipi1;Ly9;Lhx1;Smarcd3;;Spna1;Cuedc1;Ccnj;B4galt4;Acyp1;Col4a1;Ddx54;Nmt1;Aplp2;3230401D17Rik;Tmod1;;Jam2;A030003k21rik
Vdr;;Tmem107;P2rx1;Aldh1a1;Pepd;Sdf2l1;Anxa3;Id2;Plekhm3;Mical3;Itgal;Il1rn;Mgat5;;Spnb1;Cxxc5;Cd244;BG074081;Adam3;Cox4i1;2410001C21Rik;Ptgds;Alas1;Atp6ap2;Trim2;;Rassf4;Timm17b
Krt18;;Rfc3;Gstcd;Pla2g12a;Slc35d1;Ceacam1;Thbs1;Klf4;Fam69a;Nub1;Kbtbd11;Ggtla1;Traf1;;Zfp341;D16Ertd472e;Cd34;BG088116;Adam9;Csf1;P2rx4;Mrps25;Igh-6;Lats2;Trim3;;Nrk;Psmf1
Sgsm1;;Shisa8;Ell;Slc11a2;Fut7;AB124611;Itgb2;Irf5;Snx20;Ifi27l2a;Dok2;Crispld2;Ugcg;;1810053B23Rik;Dgka;Cdca7;Baz1b;Adar;Csf1r;Arih2;Atp5g2;Ldb2;Map1lc3;Trim32;;Lpl;Slc19a1
Adck3;;Gemin6;Bcl2l1;Chchd10;Chn2;B4galnt1;Mtus1;St3gal5;Mettl17;Dcaf11;Psen2;Hmga2-ps1;Olfm1;;Mgst3;Dhrs3;Cdh17;Bcar1;Adcy6;Csf3;Ubxdc2;Pcdh7;Chrnb1;Riok3;Tuba1a;;Il1rapl2;4933427e13rik
Mylk;;Wdhd1;Rpa3;Slc25a38;Plp2;Dirc2;F10;Prkab2;Ier5;Edem1;4632428N05Rik;Clec4n;Elovl6;;Cnnm2;Diap1;Cdh24;Bckdha;Adcy7;Ctnnb1;C530046L02Rik;2610524H06Rik;H2-Q7;Zfp216;Ywhab;;Muc1;Igh-vj558
Cadps2;;Dck;Micall2;Ssx2ip;H2-Oa;Atrn;Anxa2;Ctsh;Cyth4;Mt2;Cd52;Rin2;Ypel1;;A230106M20Rik;Dusp1;Cdk6;Bckdhb;Adora2a;Ctnnd1;Procr;Chek1;Ddx6;0710001O03Rik;;;Zswim5;2700097o09rik
Shank3;;Rpa1;Abcf3;Fech;Csgalnact2;Slc40a1;Ncf4;Agpat4;Cd180;Fam45a;Tmem154;Capns2;Sept11;;Mxd3;Eif4e3;Cdkn1a;Bcor;Adprh;Cxcl10;1200014P03Rik;Serf1;Hist1h1c;Catnb;;;B3galt1;Tmc1
Pde2a;;Paxip1;Upf1;Gm5511;Rhbdf2;Plod3;Padi2;Sirpa;Mical1;Krit1;S100a6;Mtus1;Ncald;;A930026I22Rik;Elmo1;Cds2;Bhlhb2;Aebp2;Cxcl12;Stat3;Ttk;Il6st;Def8;;;Mab21l2;Cenpw
Bex1;;Dna2;Slc22a3;Emilin2;Ndst2;Ncam1;Fcer1g;Bhlhe40;Cd68;Dennd5b;Lime1;2400009B08Rik;Txk;;Dp1l1;Ern1;Cep19;Bms1;Agr2;Cxcl14;Csad;Pola1;Son;Crem;;;Casp12;Sphk1
Itsn1;;Rpa2;Sfxn2;Stxbp1;Cd200r1;Sema4a;Trex1;Naaa;Cybb;Tpst1;Adora2a;LOC433045;Chn2;;LOC433237;Etv6;Cerk;Bod1;Ahr;Cxcl5;2010315L10Rik;BC006933;Ilvbl;Hccs;;;Hnf4a;Mrpl28
Dynlt1c;;Rad51ap1;Rab28;Wdr55;Tmem71;Slc8b1;Sema4a;Cd300a;Tep1;Alg13;2810474O19Rik;LOC381796;AI853688;;Gm566;Evi2a;Cers5;Bphl;Aim1;Cxcr2;Tap2;Rnase2;Ctsh;Cggbp1;;;Pcdhb16;Rab3il1
Tbkbp1;;Ctps;Gpr146;Tnk2;Itga2b;Lgals1;Rara;Lpcat2;Txndc16;Plk2;Nfkbiz;Csf1;Klra7;;4432416J03Rik;Evl;Clec11a;Bsn;Aip;Cxcr4;Eya2;E130315B21Rik;Ptpn1;8430410A17Rik;;;Dsg2;Timm22
Socs2;;Zranb3;Asap1;Mical3;Gab3;Prkcb;Ceacam1;Fam46a;Trex1;Tgif1;Amt;1600010M07Rik;Tnfsf12;;1190007F08Rik;Exoc3l;Clip2;Btc;Ak1;Dag1;Hdac5;Cdc7;Trip6;Usp33;;;Trim47;Cdc6
Epb4.1l4b;;Ube2t;Pdp2;Atp13a3;Anxa1;Msantd3;Adgre5;Emilin2;H2-Ob;Ets2;Traf1;2610001E17Rik;Fhl2;;Hbb-y;Eya2;Cmtm7;C19orf18;Ak3l1;Dcc;Myd116;Cdc6;Pl6;Capn7;;;Gipc2;4932416j16rik
Casp12;;Prkar2a;3110062M04Rik;Slc16a1;Anxa3;Idh1;Irf8;Il6ra;Unc93b1;D1Ertd622e;Gpr65;F5;Klrc3;;Hebp1;F13a1;Coro1a;C20orf79;Akap8l;Dcn;Tie1;Rad51l1;Synpo;Rcn;;;Rhoj;Zeb1
